molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1729,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,active,227.0
CHEMBL202434,O=C(NC[C@@H]1CCN2CCC[C@@H]12)c1cc(Cl)cn2ccnc12,inactive,10000.0
CHEMBL372312,CCC[C@@H](C(=O)c1ccc(C)cc1)N1CCCC1,inactive,10000.0
CHEMBL377498,CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,inactive,10000.0
CHEMBL202939,CCC(CC(=O)c1ccc(C)cc1)N1CCCC1,inactive,10000.0
CHEMBL369997,CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,inactive,10000.0
CHEMBL204759,CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,inactive,10000.0
CHEMBL204254,CCCC(C(=O)c1cccc(C)c1)N1CCCC1,inactive,10000.0
CHEMBL203403,CCCC(C(=O)c1ccccc1C)N1CCCC1,inactive,10000.0
CHEMBL204490,CCCC(C(=O)c1ccc(C(F)(F)F)cc1)N1CCCC1,inactive,10000.0
CHEMBL379679,CCCC(C(=O)c1ccc(NC(C)=O)cc1)N1CCCC1,inactive,10000.0
CHEMBL381127,CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,inactive,10000.0
CHEMBL379446,CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,inactive,10000.0
CHEMBL203563,CCCC(C(=O)c1ccc(O)cc1)N1CCCC1,inactive,10000.0
CHEMBL202420,CCCC(C(=O)c1ccc(Br)cc1)N1CCCC1,inactive,10000.0
CHEMBL2113241,Cc1coc2ccc(N3C[C@@]4(CN5CCC4CC5)OC3=O)cc12,inactive,10000.0
CHEMBL377050,CO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,inactive,10000.0
CHEMBL213106,Cc1ccc(O)c(/C(CCN2CCN(c3ccccn3)CC2)=N/O)c1,inactive,10000.0
CHEMBL212075,Cc1ccc(OCc2ccccc2)c(/C(CCN2CCN(c3ccccn3)CC2)=N/O)c1,inactive,10000.0
CHEMBL214190,O/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1F,inactive,10000.0
CHEMBL385350,O/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccccc1,inactive,10000.0
CHEMBL214954,O/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1Cl,inactive,10000.0
CHEMBL385230,O/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccccc1Cl,inactive,10000.0
CHEMBL215849,Cc1ccccc1/C(CCN1CCN(c2ccccn2)CC1)=N/O,inactive,10000.0
CHEMBL214440,Cc1ccccc1/C(CCN1CCN(c2ccccn2)CC1)=N\O,inactive,10000.0
CHEMBL212188,O/N=C(\CCN1CCN(c2ccccn2)CC1)c1cccc(F)c1,inactive,10000.0
CHEMBL212189,O/N=C(\CCN1CCN(c2ccccn2)CC1)c1cccc(Cl)c1,inactive,10000.0
CHEMBL212298,Cc1cccc(/C(CCN2CCN(c3ccccn3)CC2)=N/O)c1,inactive,10000.0
